player_name,player_id,season,Year in NBA,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,College Drafted Players Stats from 2000-2005 (1).Rk,College Drafted Players Stats from 2000-2005 (1).PTS,College Drafted Players Stats from 2000-2005 (1).Draft Year,College Drafted Players Stats from 2000-2005 (1).Draft College,College Drafted Players Stats from 2000-2005 (1).Season,College Drafted Players Stats from 2000-2005 (1).Team,College Drafted Players Stats from 2000-2005 (1).G,College Drafted Players Stats from 2000-2005 (1).GS,College Drafted Players Stats from 2000-2005 (1).MP,College Drafted Players Stats from 2000-2005 (1).FG,College Drafted Players Stats from 2000-2005 (1).FGA,College Drafted Players Stats from 2000-2005 (1).2P,College Drafted Players Stats from 2000-2005 (1).2PA,College Drafted Players Stats from 2000-2005 (1).3P,College Drafted Players Stats from 2000-2005 (1).3PA,College Drafted Players Stats from 2000-2005 (1).FT,College Drafted Players Stats from 2000-2005 (1).FTA,College Drafted Players Stats from 2000-2005 (1).ORB,College Drafted Players Stats from 2000-2005 (1).DRB,College Drafted Players Stats from 2000-2005 (1).TRB,College Drafted Players Stats from 2000-2005 (1).AST,College Drafted Players Stats from 2000-2005 (1).STL,College Drafted Players Stats from 2000-2005 (1).BLK,College Drafted Players Stats from 2000-2005 (1).TOV,College Drafted Players Stats from 2000-2005 (1).PF,College Drafted Players Stats from 2000-2005 (1).PTS_1,College Drafted Players Stats from 2000-2005 (1).FG%,College Drafted Players Stats from 2000-2005 (1).2P%,College Drafted Players Stats from 2000-2005 (1).3P%,College Drafted Players Stats from 2000-2005 (1).FT%,College Drafted Players Stats from 2000-2005 (1).TS%,College Drafted Players Stats from 2000-2005 (1).eFG%,College Drafted Players Stats from 2000-2005 (1).Pos,Year in NBA2
Brandon Armstrong,armstbr01,2004,3,878,466,-3.722321623,-3.035992065,-6.758313687,-0.961158373,-0.921008393,-0.04014998,-3.768991501,-3.542395912,-7.311387413,0.665468936,29,684,2001,Pepperdine,2000,Pepperdine,31,30,1027,240,537,164,339,76,198,128,155,36,65,101,46,46,6,65,85,684,0.447,0.484,0.384,0.826,0.56,0.518,G,3
Tony Allen,allento01,2005,1,2644,1352,-0.228063759,2.508467194,2.280403435,3.465449336,3.477082842,-0.011633506,-0.444915629,2.316828456,1.871912826,0.470249632,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,1
Tony Allen,allento01,2006,2,1900,978,-1.557530153,1.067379535,-0.490150618,1.135921786,1.135921786,0,-1.604901255,1.320594638,-0.284306616,0.675445451,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,2
Tony Allen,allento01,2007,3,1561,805,0.484192608,1.393280796,1.877473403,1.914011258,1.914011258,0,0.352630027,1.461246424,1.813876451,0.658790791,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,3
Tony Allen,allento01,2008,4,2748,1438,-2.162681913,2.497589382,0.334907469,2.284940997,2.172133579,0.112807418,-2.256114155,1.921369047,-0.334745107,0.740892357,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,4
Tony Allen,allento01,2009,5,1806,947,-2.475138115,2.441802995,-0.033335119,1.324846613,1.333053435,-0.008206822,-2.310335448,2.004143118,-0.30619233,0.694804696,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,5
Tony Allen,allento01,2010,6,2451,1280,-1.962691155,2.769691713,0.807000558,2.37721208,1.436322594,0.940889486,-2.047030308,2.591057277,0.544026968,0.798950443,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,6
Tony Allen,allento01,2011,7,3557,1844,-0.520778118,3.969764489,3.448986371,5.871702254,5.327618525,0.544083729,-0.38748707,4.109365124,3.721878054,0.596766274,125,561,2004,Oklahoma State,2003,Oklahoma State,35,34,1107,204,405,182,331,22,74,131,194,63,130,193,109,72,30,98,105,561,0.504,0.55,0.297,0.675,0.564,0.531,G,7
Gilbert Arenas,arenagi01,2002,1,2300,1155,1.75965971,-0.069011722,1.690647989,2.63168483,2.63168483,0,1.773401216,0.371988083,2.145389299,0.522442364,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,1
Gilbert Arenas,arenagi01,2003,2,5689,2866,3.27085549,-1.028225803,2.242629688,7.324001224,7.324001224,0,3.603151052,-0.477491247,3.125659806,0.297831803,104,582,2001,Arizona,2000,Arizona,36,33,1044,208,434,139,268,69,166,97,134,29,102,131,84,65,7,101,82,582,0.479,0.519,0.416,0.724,0.585,0.559,G,2
